"","Energy_Services","NG_Export","Petroleum_Export","Coal_Export"
"Solar_Flow",0,0,0,0
"Nuclear_Flow",0,0,0,0
"Hydro_Flow",0,0,0,0
"Wind_Flow",0,0,0,0
"Geothermal_Flow",0,0,0,0
"NaturalGas_Flow",0,0,0,0
"Coal_Flow",0,0,0,0
"Biomass_Flow",0,0,0,0
"Petroleum_Flow",0,0,0,0
"Solar_Electricity",0,0,0,0
"Nuclear_Electricity",0,0,0,0
"Hydro_Electricity",0,0,0,0
"Wind_Electricity",0,0,0,0
"Geothermal_Electricity",0,0,0,0
"NaturalGas_Electricity",0,0,0,0
"Coal_Electricity",0,0,0,0
"Biomass_Electricity",0,0,0,0
"Petroleum_Electricity",0,0,0,0
"Import_Net_Electricity",0,0,0,0
"Electricity_Flow",0,0,0,0
"Services_Resident_SpaceHeating_NG",0,0,0,0
"Services_Resident_SpaceHeating_Elec",0,0,0,0
"Services_Resident_WaterHeating_NG",0,0,0,0
"Services_Resident_WaterHeating_Elec",0,0,0,0
"Services_Resident_Cooking_NG",0,0,0,0
"Services_Resident_Cooking_Elec",0,0,0,0
"Services_Resident_Other",0,0,0,0
"Services_Commerce_SpaceHeating_NG",0,0,0,0
"Services_Commerce_SpaceHeating_Elec",0,0,0,0
"Services_Commerce_WaterHeating_NG",0,0,0,0
"Services_Commerce_WaterHeating_Elec",0,0,0,0
"Services_Commerce_Cooking_NG",0,0,0,0
"Services_Commerce_Cooking_Elec",0,0,0,0
"Services_Commerce_Other",0,0,0,0
"Services_Industrial",0,0,0,0
"Services_Transport_LDV_Petrol",0,0,0,0
"Services_Transport_LDV_Elec",0,0,0,0
"Services_Transport_LDV_Ethanol",0,0,0,0
"Services_Transport_Other_Petrol",0,0,0,0
"Services_Transport_Other_NG",0,0,0,0
"Services_Transport_Other_Other",0,0,0,0
